id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
KPsfrHkHf1M,"LUKAKU DESTRÓI COM GOLAÇOS, E CHELSEA VENCE O ASTON VILLA NA PREMIER LEAGUE | MELHORES MOMENTOS",2021-09-11 19:41:59+00:00,UCw5-xj3AKqEizC7MvHaIPqA,ESPN Brasil,2021-09-13 00:00:00+00:00,808630,42306,241,1606,"Sem muitas dificuldades, o Chelsea reencontrou a vitória na Premier League. Jogando no Stamford Bridge, a equipe de Londres venceu o Aston Villa por 3 a 0, gols de Lukaku, duas vezes, e Kovacic.Quer ASSISTIR a tudo de melhor que existe no esporte? Acesse o ESPN.com.br e também inscreva-se aqui no nosso canal!https://www.espn.com.br/➡ Facebook: https://facebook.com/foxsportsbrasil ➡ Twitter: https://twitter.com/foxsportsbrasil➡ Instagram: https://instagram.com/foxsportsbrasil➡ Facebook: https://www.facebook.com/espnbrasil➡ Twitter: https://twitter.com/ESPNBrasil➡ Instagram: https://www.instagram.com/espnbrasilVamos JuntosNaTorcida!#Chelsea #Lukaku #MelhoresMomentos",Sports
ql1JDdsRexg,GANHANDO MUITO DINHEIRO CRIANDO MEUS PRÓPRIOS JOGOS! - Game Dev Tycoon,2022-07-04 15:00:35+00:00,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,2022-07-09 00:00:00+00:00,724411,59664,0,2878,"Vamos jogar mais um episódio de Game Dev Tycoon, o jogo que você abre uma empresa para criar jogos! E hoje vamos ganhar muito dinheiro com nossos novos lançamentos! CONFIRA E SARAIVA O LIKE!●Primeiro episódio: https://youtu.be/qHT2oTiumpc======================●Instagram: julianoab●Email de contato: jazzghost@gmail.com",Gaming
uGXx_chUyhE,Gusttavo Lima - Super Ex (O Embaixador The Legacy),2021-01-22 14:00:03+00:00,UCXooz9whNJZBRTHi9AqdjPw,Gusttavo Lima Oficial,2021-01-31 00:00:00+00:00,8250467,211781,4491,8503,"Essa música faz parte do novo álbum do Gusttavo Lima, O Embaixador The Legacy, gravado em Goiânia/GO.INSCREVA-SE NO CANAL: http://tinyurl.com/youtubeGL Produção Musical: Gusttavo Lima e Reinaldo MeirellesMixagem e Masterização: Rafael Vargas Direção de vídeo: Anselmo Troncoso Compositores: Denner Ferrari/ Fabrício Fafá/  Gui Prado / Paulo Motta Gravadora: Sony MusicLETRA SUPER EX Você só me procura quando está carenteSó me liga quando seu boy não atendeTá com vontade, vontade de que?Qual problema que seu atual não pode resolver?Será que é cama? É beijo? Um abraço?Ou desabafo que ele não quer saber?E agora quem poderá te defender?O seu Super Ex, Super Ex, Super Ex Que chega voando e resolve todos os seus problemas de vezO seu Super Ex, Super Ex, Super Ex Já perdi as contas de quantas vezes eu te salveiO seu Super Ex, Super Ex, Super Ex Que chega voando e resolve todos os seus problemas de vezO seu Super Ex, Super Ex, Super Ex Já perdi as contas de quantas vezes eu te salveiOlha eu te salvando outra vez#GusttavoLima #SuperEx #OEmbaixador",Music
kz-Y_pIzH0c,QUANDO O BRINQUEDO É DUVIDOSO PT.2,2022-01-28 15:00:41+00:00,UC-avDbSeXrTlHQ1QVzlbaog,Oli Natu,2022-02-01 00:00:00+00:00,2012565,246441,0,556,Instagram: https://www.instagram.com/oli__natuTikTok: https://www.tiktok.com/@oli_natuContato: assessoriaolinatu@gmail.comNatu RapYoutube: https://www.youtube.com/naturap​​​​​​​Spotify: https://open.spotify.com/artist/0PtLgb2wKQeuLHaNftz0mk?si=OldEekkpSn6Z_LyxbBpqGgInstagram: https://www.instagram.com/rap_natu​​​​​​​Canal Oficial do Oli Natu#shorts​ #shortsbrasil,People & Blogs
0WcTi9K_dVg,Respondendo perguntas - Alice faz birra? Já desfraldou? E se ela não gostar da exposição?,2022-03-29 14:31:39+00:00,UCxwENW5gfb72OnMnRycgflA,Morgana Secco,2022-04-04 00:00:00+00:00,170366,22757,0,593,Neste vídeo respondi as seguintes perguntas dos seguidores:- Faz mais frio em Londres ou no RS?- Alice já desfraldou?- Alice faz birra?- Não se preocupa em não ter proteção nas escadas com Alice pequena?- Já levamos Alice no oftamologista para saber por que ela olha de lado?- Até que idade Alice dormiu com a gente e como foi a transição para o quarto dela?- Por que não falamos inglês com a Alice?- Por que Alice me chama de Margarida?- Como me senti com a chegada da pandemia e uma bebê pequena?- E se Alice crescer e não gostar da exposição?- Não temos carro?- Tem vez que Alice não gosta de ser filmada?Inscreva-se no canal: https://www.youtube.com/channel/UCxwENW5gfb72OnMnRycgflA?sub_confirmation=1Instagram: https://www.instagram.com/morganasecco/Seguir no Facebook: https://www.facebook.com/Morgana-Secco-853527361485473/Assine a newsletter: https://mailchi.mp/4af1a37f6fab/morganasecco,People & Blogs
2WLJDp5O87I,JOÃO GUILHERME E JADE PICON FIZERAM FOTOS SENSUAIS NO CELULAR DE JADE!!! | #MatheusMazzafera,2020-11-16 23:00:00+00:00,UCL7Bgplfmp-9hF1ghndgxng,Matheus Mazzafera,2020-11-23 00:00:00+00:00,735888,63273,867,1239,"João Guilherme responde a perguntas sobre seu relacionamento com Jade Picon♦ instagram: https://www.instagram.com/matmazzafera♦ snapchat: @mmazzafera♦ Twitter:  https://twitter.com/matmazzafera?lang=en♦facebook: matheus mazzafera https://www.facebook.com/Matheus-Mazzafera-139385756093781/----------------------------------------­­­­------------------------------Bem vindos ao canal Matheus Mazzafera! Vídeos novos toda dia as 13:00 hs, 17:00 hs e 20:00 hs.Alem de vídeos surpresa!Todo dia as 13:00 hs são videos de reagindo. E os videos das 17:00 hs e 20:00 hs são sobre minha vida e entrevistas.IMPORTANTE: Eu Matheus prezo pelo bem estar de todos. Em varios vídeos falo sobre gordofobia, homofobia, racismo... enfim, tento levar conhecimento e amor para todos. Em alguns vídeos, também falamos de assuntos relacionados a sexo, bebidas, etc... que podem ser impróprios para menores. Ainda que os vídeos do YouTube sejam classificados pela própria plataforma (https://www.justica.gov.br/seus-direitos/classificacao/procedimento/cinema-e-video), nos termos do link, os pais devem verificar a classificação.",People & Blogs
fLfsHCV7tKw,Como realmente é usar lente de contato,2022-06-30 19:35:39+00:00,UCv8JigLQYDbWtDpyFfSmpsA,Bruno Miranda,2022-07-09 00:00:00+00:00,193669,45731,0,856,primeira vez usando lentes de contato? isto não é um tutorial. você precisa aprender sozinho. porque descobrir como coloca a lente te prepara pra vida.você encontra o podcast q apresento eu que lute no tocador de podcast q vc preferir🍗 me acompanhe por aqui:http://instagram.com/bubarimhttps://twitter.com/bubarimhttp://facebook.com/bubarimhttp://brunomirandaoficial.com🍐 compre meu livro Azeitonahttp://bit.ly/AzeitonaSaraivahttp://bit.ly/AzeitonaAmazonhttp://bit.ly/AzeitonaCultura🎥 meus canais:http://youtube.com/bubarimhttp://youtube.com/maisbubarim (extras)obrigado por assistir ao vídeo! :D,Comedy
X29mVUkVcT4,ELA ESTÁ ARREPENDIDA E ELE AVISOU! - Ep.1511,2020-12-07 23:00:08+00:00,UCtrjFP7i92_30uv6IehwE5Q,Cadê a chave?,2020-12-16 00:00:00+00:00,748836,104437,529,2350,Camisas Coisa de Nerd  http://bit.ly/2arsmPrAcompanhe nosso trabalho em outros canais! ​ @Coisa de Nerd   @Financeiro   @República Coisa de Nerd   @Quero Ouvir Podcast  Nos siga no Instagram: Instagram do Leon: https://instagram.com/cdnleonInstagram da Nilce:  https://instagram.com/nilmorettoMusic by: Epidemic Sound www.epidemicsound.comYoutube (Ferramentas de Criação) Pacote Royalty Free do Sony Vegas,Film & Animation
_IDLDfXzCmg,Clash Royale: 🥞 PANQUECAS 🥞 (Nova Temporada),2022-07-04 09:40:21+00:00,UCDB14JrPAMedPRldcrCaHnw,Clash Royale Brasil,2022-07-11 00:00:00+00:00,191006,7162,0,151,"Entre no sonho adocicado da Mini P.E.K.K.A! 💭Uma Nova Arena, Novas Cartas Melhoradas e o Desafio da Super Mini P.E.K.K.A!",Gaming
j_iegFnf4Ek,CHAMELEO & Pabllo Vittar - frequente(mente) [official music video],2020-11-13 16:36:06+00:00,UCCc54OW-zcEpJ61w1I057Lw,CHAMELEO,2020-11-21 00:00:00+00:00,1019557,104448,3533,15394,"Videoclipe Oficial de frequente(mente)”▶OUÇA NA SUA PLATAFORMA: https://orcd.co/frequentemente▶ SIGA CHAMELEO: https://www.instagram.com/chameleo_https://twitter.com/chameleo_TikTok: @chameleo▶ FICHA TÉCNICA - CLIPE:Produtora: DVTO PROD.Direção: Federico Devito Direção de Arte: Italo MatosDireção Criativa: Junior ScozDireção de Produção: Bruno AnacletoAss. de Direção: Fernando HaddadDireção de Fotografia: Rodrigo PrataOperador de Steady Cam: Junior Loiola1º Ass de Câmera: Thiago HanColorização/Logger: Leandro LameziVideo Assist.: Fábio BalianEquipe Light Design (Lasers)Light Design - @ayastudiox Direção Criativa - @antonio.curti Direção Técnica - @felipesztutmanOperação e Programação  - @dtv.coProdução - @juanassis Foto Capa e Divulgação: ErnnaCostEletricista chefe: Wendel Salsa1º Assistente de Elétrica: Batatinha (Milton Gonçalves)2º Assistente de Elétrica: Diego Pereira2º Assistente de Elétrica: Thiago MarcelinoProdutor Platô: Miguel PixiesAjudantes de Produção: Nego (Everson dos Santos), Marinheiro (Giovani Alves), Gustavo Spina   Produtora de arte: Luciana TrovatoAss. de arte: Henrique TavaresContra regra: Carioca (Ricardo Queiroz)Contra regra: Michael CoelhoAssistente de Contra: Rafael Venâncio de OliveiraCenotécnico: Allan TorquattoCoreografia: Flávio VerneAss. Coreografia: Renan Silveira   Artist Manager: Arthur CoelhoStylist Chameleo: Victor BorgesAss. Stylist: Bruno NogueiraCamareira: Vera Lucia Gomes CasteloMaquiagem Chameleo: William CruzesAss. Maquiagem: Ziel MouraStylist Pabllo Vittar: João França RibeiroAss. Stylist: Ana Clara FagundesCamareira: Laurentina Rosa de Jesus Ramalho Make de Efeitos Especiais: Victor NogueiraAss. Make de Efeitos Especiais: Caroline AraújoCabelo Pabllo Vittar: TherezaAssistente Pabllo Vittar: Polyanna Empresário Pabllo Vittar: Leo RezendeCasting:Lucas Conceição; Guilherme Breves; Vinicius Scapim; Thiago Idehara; João Orlandin; Igor Lourenço.Making of: BTS: Vitor Liberato - Assistente: Marcos Vinicius PereiraBTS Federico: Gabryel Sampaio - Assistente: Pietro Freire Godinho de OliveiraDOP: Luiz FernandoTestagem contra Covid: Karen (Catividade)Bombeiro: Anderson SantosEnfermeiro: Charles Eduardo dos Santos (Remoções Ypiranga)Edição: Junior Scoz e Federico DevitoLettering: Douglas RederColor grading: Leandro LameziAgradecimento especial:Light Design: @ayastudiox e @antonio.curtiLocação do aquário: @ParahausProdução Executiva: Federico Devito▶ FICHA TÉCNICA - MÚSICA:Composição: CHAMELO/ Pabllo Vittar / BibiProdução Musical: jvck, Janluska, Lucs, MaffaldaMix: Nico BraganholoMaster: jvck▶ IMPRENSA:Mayara@melinatavares.com.br__________CHAMELEO e Pabllo Vittar - frequente(mente)E tudo se repeteNão sei onde eu tô errandoTalvez não tô procurando o louco certoPra me entenderE tudo se repete, repeteNão interprete o nosso karmaCalma que pra sua armaSou à prova de balasMas tô sabendoDas coisas que você disseO efeito do venenoDeixa cicatrizesVocê diz que nãoMas tô ligado que 'cê menteFrequentementeFrequentementeVocê diz que nãoMas tô ligado que 'cê menteFrequentementeEu sei que 'cê menteFrequentemente mente pra mimFrequentemente mente pra mimPerdida na mente, a vibe que senteNão sei se é ilusão ou real, então senteA luz que realça, transcendeE tira a culpa que nasce na genteJá me falavam que a vida éUm ninho cheio de bocas abertasTe esperando como profetaMas achei o caminho que livra da algema que prende e entãoTe joguei no abismo que só me feria e larguei tua mãoMatar, morrer, viver, sofrerMentir, chorar, enganar... Pra quê?Eu sei que você mente (Eu sei, eu sei)Eu sei que você mente (Eu sei)Eu sei que você menteVocê diz que nãoMas tô ligado que 'cê menteFrequentementeFrequentementeVocê diz que nãoMas tô ligado que 'cê menteFrequentementeEu sei que 'cê mente",Music
